model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,mcc,training_time_seconds,prediction_time_seconds
Logistic Regression,0.664662850949978,0.06947107799111586,0.692475199612872,0.12627399073461285,0.7521289168488406,0.1379939929582216,0.1373151450992272,279.49071012303466,1.1354238239582628
Random Forest,0.8944525349679954,0.21184037623625424,0.7411081538833777,0.32949655765920827,0.8985922295136587,0.5610901216567403,0.35943969052186986,81.16854012699332,1.498031251016073
LightGBM,0.9238324245605717,0.29482744072230194,0.8453907573191386,0.4371871871871872,0.9548460093639077,0.7207477093904096,0.47221153359297574,41.22575079591479,2.6608393889619038
XGBoost,0.9057557489755139,0.2460075493612079,0.8199854827002178,0.3784689262382043,0.9372177022321052,0.6563669024583287,0.41725946702623784,87.92584794701543,0.692740932921879
