model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,mcc,training_time_seconds,prediction_time_seconds,interpretation_method,shap_explanation_time_500_samples
Logistic Regression,0.664662850949978,0.0694710779911158,0.692475199612872,0.1262739907346128,0.7521289168488406,0.1379939929582216,0.1373151450992272,279.49071012303466,1.1354238239582628,Model Coefficients,
Random Forest,0.8944525349679954,0.2118403762362542,0.7411081538833777,0.3294965576592082,0.8985922295136587,0.5610901216567403,0.3594396905218698,81.16854012699332,1.498031251016073,SHAP,27.88072261796333
LightGBM,0.9238324245605716,0.2948274407223019,0.8453907573191386,0.4371871871871872,0.9548460093639076,0.7207477093904096,0.4722115335929757,41.22575079591479,2.660839388961904,SHAP,3.411595336976461
XGBoost,0.905755748975514,0.2460075493612079,0.8199854827002178,0.3784689262382043,0.9372177022321052,0.6563669024583287,0.4172594670262378,87.92584794701543,0.692740932921879,SHAP,0.46790910291019827
