model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,prediction_time_seconds,training_time_seconds
Logistic Regression,0.7298743522877367,0.0795203343124489,0.6353738204693927,0.1413499838518678,0.7497128282373741,0.1298215517706312,0.95809006690979,257.9099311828613
Random Forest,0.8972973888305619,0.21623731459797033,0.7372368739414469,0.3343942054433714,0.8985566500818609,0.5608734839214948,1.4625790119171143,75.42487406730652
LightGBM,0.9237816235987402,0.2945742975276348,0.8446648923300266,0.43681181181181183,0.9545198270682521,0.7208497461097817,2.636819839477539,45.74381709098816
XGBoost,0.9065092965760152,0.24742268041237114,0.8187757077183644,0.38001122964626616,0.937409360946383,0.6555527768365286,0.7498929500579834,87.77122187614441
